date_collected,settlement_rad,juv_mean_growth_rate,juv_age,meanTemp_juv,swim_speed
8/4/08,241.1000061,6.394999186,6,29.80629991,NA
8/4/08,213.9100037,5.558331808,6,29.80629991,NA
8/4/08,227.4199982,5.311668396,6,29.80629991,NA
8/4/08,216.0099945,5.858334859,6,29.80629991,NA
8/4/08,248.7100067,5.859998067,6,29.80629991,NA
8/4/08,255.4100037,5.433334351,6,29.80629991,NA
8/4/08,234.1300049,6.715001424,6,29.80629991,NA
8/5/08,222.8699951,6.574288504,7,29.76332492,NA
8/4/08,214.3300018,6.296666463,6,29.80629991,NA
8/4/08,239.3999939,5.493331909,6,29.80629991,NA
8/4/08,215.0800018,5.733332316,6,29.80629991,NA
8/4/08,233.4299927,6.524998983,6,29.80629991,NA
8/4/08,226.0500031,5.916664124,6,29.80629991,NA
8/4/08,208.7799988,6.343332926,6,29.80629991,NA
8/4/08,216.6600037,6.521664937,6,29.80629991,NA
5/25/09,254.8399963,5.068333944,6,26.96785714,NA
5/25/09,241.0299988,5.496668498,6,26.96785714,NA
5/25/09,189.3899994,5.613334656,6,26.96785714,NA
5/25/09,230.1499939,5.496668498,6,26.96785714,NA
5/25/09,197.0500031,5.373331706,6,26.96785714,NA
5/25/09,226.6100006,5.731666565,6,26.96785714,NA
5/25/09,193.8800049,5.435000102,6,26.96785714,NA
6/25/09,238.9199982,5.295000076,8,29.0125,37.87369
6/25/09,202.9100037,5.38999939,8,29.0125,62.78716907
6/25/09,175.0299988,6.840000153,8,29.0125,NA
6/25/09,208.4499969,6.117502212,8,29.0125,36.2808
6/25/09,203.4799957,5.927499771,8,29.0125,27.26474
6/25/09,217.1300049,5.4375,8,29.0125,38.75259533
6/25/09,220.7100067,5.752500534,8,29.0125,63.09149805
6/25/09,229.5500031,4.978750229,8,29.0125,27.8110206
6/25/09,207.7899933,5.03125,8,29.0125,50.78392698
6/25/09,198.1699982,5.661251068,8,29.0125,47.45160871
6/25/09,216.6300049,4.708749771,8,29.0125,60.83009776
6/25/09,195.3500061,5.481248856,8,29.0125,41.14425401
6/25/09,207.5500031,5.161249161,8,29.0125,56.79732221
6/25/09,216.3500061,5.208747864,8,29.0125,77.16689094
6/25/09,208.3800049,5.299999237,8,29.0125,35.95069458
6/25/09,208.2700043,5.432498932,8,29.0125,39.64932712
6/25/09,209.7400055,5.841249466,8,29.0125,NA